Country/Region,Lat,Long,cases
China,31.6927,88.0924,1
United Kingdom,18.2206,-63.0686,3
France,46.8852,-56.3159,4
Canada,64.8255,-124.8457,5
United Kingdom,18.4207,-64.64,9
MS Zaandam,0,0,9
Western Sahara,24.2155,-12.8858,10
Holy See,41.9029,12.4534,12
Canada,0,0,13
France,17.9,-62.8333,13
United Kingdom,16.742498,-62.187366,13
Netherlands,12.1784,-68.2385,13
United Kingdom,-51.7963,-59.5236,13
Denmark,71.7069,-42.6043,14
Canada,64.2823,-135,15
Saint Kitts and Nevis,17.357822,-62.782998,17
China,35.7452,95.9956,18
Dominica,15.415,-61.371,18
Laos,19.85627,102.495496,20
France,-20.904305,165.618042,23
Grenada,12.1165,-61.679,24
Saint Lucia,13.9094,-60.9789,25
Timor-Leste,-8.874217,125.727539,25
Fiji,-17.7134,178.065,27
Netherlands,12.1696,-68.99,31
Australia,-12.4634,130.8456,33
Canada,46.5107,-63.4168,36
China,22.1667,113.55,46
Saint Vincent and the Grenadines,12.9843,-61.2872,57
France,-17.6797,149.4068,69
China,37.2692,106.1655,75
France,18.0708,-63.0501,78
Liechtenstein,47.14,9.55,89
Antigua and Barbuda,17.0608,-61.7964,92
Bhutan,27.5142,90.4336,110
Australia,-35.4735,149.0124,113
Seychelles,-4.6796,55.492,126
Monaco,43.7333,7.4167,133
Barbados,13.1939,-59.5432,142
Brunei,4.5353,114.7277,142
China,26.8154,106.8748,147
Belize,17.1899,-88.4976,153
China,43.6661,126.1923,157
United Kingdom,32.3078,-64.7505,158
China,35.7518,104.2861,167
China,19.1959,109.7453,171
Canada,46.5653,-66.4619,176
Netherlands,18.0425,-63.0548,189
China,24.974,101.487,191
China,37.5777,112.2922,201
United Kingdom,36.1408,-5.3536,201
United Kingdom,19.3133,-81.2546,203
China,39.3054,117.323,205
Papua New Guinea,-6.314993,143.95555,214
United Kingdom,21.694,-71.7979,216
Australia,-42.8821,147.3272,229
Cambodia,11.55,104.9167,251
China,23.8298,108.7881,255
China,44.0935,113.9448,258
China,41.2956,122.6085,261
Canada,53.1355,-57.6604,267
Trinidad and Tobago,10.6918,-61.2225,279
Eritrea,15.1794,39.7823,285
France,16.265,-61.551,290
Mongolia,46.8625,103.8467,293
Denmark,61.8926,-6.9118,303
China,35.1917,108.8701,331
France,14.6415,-61.0242,336
United Kingdom,54.2361,-4.5481,336
Mauritius,-20.348404,57.552152,344
China,39.549,116.1306,349
Burma,21.9162,95.956,360
China,26.0789,117.9874,367
Comoros,-11.6455,43.3333,399
Burundi,-3.3731,29.9189,408
Australia,-34.9285,138.6007,459
Taiwan*,23.7,121,477
Tanzania,-6.369028,34.888822,509
Canada,53.7609,-98.8139,542
Netherlands,12.5211,-69.9683,563
Guyana,4.860416,-58.93018,568
China,30.0572,107.874,583
United Kingdom,49.3723,-2.3644,597
China,30.6171,102.7103,615
Australia,-31.9505,115.8605,642
China,32.9711,119.455,659
France,-21.1151,55.5364,687
San Marino,43.9424,12.4578,699
Diamond Princess,0,0,712
Lesotho,-29.61,28.2336,742
China,31.202,121.4491,786
Botswana,-22.3285,24.6849,804
China,36.3427,118.1498,810
Vietnam,14.058324,108.277199,841
China,41.1129,85.2401,853
Sao Tome and Principe,0.1864,6.6131,878
Bahamas,25.025885,-78.035889,898
China,27.614,115.7221,932
China,40.1824,116.4142,935
Chad,15.4542,18.7322,944
China,47.862,127.7615,947
Andorra,42.5063,1.5218,955
China,31.8257,117.2264,991
China,27.6104,111.7088,1019
Jamaica,18.1096,-77.2975,1023
Togo,8.6195,0.8248,1060
Canada,44.682,-63.7443,1071
Australia,-27.4698,153.0251,1089
Malta,35.9375,14.3754,1089
Niger,17.607789,8.081666,1158
