Country/Region,Lat,Long,recovered
China,31.6927,88.0924,1
France,46.8852,-56.3159,1
United Kingdom,18.2206,-63.0686,3
France,17.9,-62.8333,6
United Kingdom,18.4207,-64.64,7
Netherlands,12.1784,-68.2385,7
Western Sahara,24.2155,-12.8858,8
Holy See,41.9029,12.4534,12
United Kingdom,16.742498,-62.187366,12
United Kingdom,-51.7963,-59.5236,13
Denmark,71.7069,-42.6043,14
Saint Kitts and Nevis,17.357822,-62.782998,16
China,35.7452,95.9956,18
Dominica,15.415,-61.371,18
Fiji,-17.7134,178.065,18
Laos,19.85627,102.495496,19
France,-20.904305,165.618042,22
Grenada,12.1165,-61.679,23
Saint Lucia,13.9094,-60.9789,24
Timor-Leste,-8.8742,125.7275,24
Australia,-12.4634,130.8456,30
Netherlands,12.1696,-68.99,30
Belize,17.1899,-88.4976,32
United Kingdom,21.694,-71.7979,39
France,18.0708,-63.0501,44
China,22.1667,113.55,46
Saint Vincent and the Grenadines,12.9843,-61.2872,52
Papua New Guinea,-6.314993,143.95555,53
France,-17.6797,149.4068,62
Botswana,-22.3285,24.6849,63
China,37.2692,106.1655,75
Antigua and Barbuda,17.0608,-61.7964,76
Liechtenstein,47.14,9.55,85
Netherlands,18.0425,-63.0548,86
Bhutan,27.5142,90.4336,96
France,14.6415,-61.0242,98
Bahamas,25.025885,-78.035889,104
Australia,-35.4735,149.0124,110
Barbados,13.1939,-59.5432,112
Monaco,43.7333,7.4167,113
Netherlands,12.5211,-69.9683,114
Seychelles,-4.6796,55.492,125
Trinidad and Tobago,10.6918,-61.2225,135
Brunei,4.5353,114.7277,138
United Kingdom,32.3078,-64.7505,144
China,26.8154,106.8748,145
China,43.6661,126.1923,154
China,35.7518,104.2861,165
China,19.1959,109.7453,165
Lesotho,-29.61,28.2336,175
China,41.2956,122.6085,181
Tanzania,-6.369028,34.888822,183
France,16.265,-61.551,186
United Kingdom,36.1408,-5.3536,186
China,24.974,101.487,188
Guyana,4.860416,-58.93018,189
China,39.3054,117.323,200
China,37.5777,112.2922,201
United Kingdom,19.3133,-81.2546,202
Denmark,61.8926,-6.9118,215
Australia,-42.8821,147.3272,216
Cambodia,11.55,104.9167,219
Gambia,13.4432,-15.3101,221
Eritrea,15.1794,39.7823,245
China,23.8298,108.7881,253
China,44.0935,113.9448,253
China,41.1129,85.2401,258
Mongolia,46.8625,103.8467,263
United Kingdom,54.2361,-4.5481,312
Burma,21.9162,95.956,312
Burundi,-3.3731,29.9189,315
China,35.1917,108.8701,319
Mauritius,-20.348404,57.552152,334
China,37.8957,114.9042,343
Syria,34.8021,38.9968,346
China,26.0789,117.9874,363
Comoros,-11.6455,43.3333,369
Vietnam,14.058324,108.277199,395
Taiwan*,23.7,121,441
Australia,-34.9285,138.6007,447
United Kingdom,49.3723,-2.3644,533
Angola,-11.2027,17.8739,567
China,30.0572,107.874,577
China,30.6171,102.7103,599
Australia,-31.9505,115.8605,629
France,-21.1151,55.5364,631
Diamond Princess,0,0,651
China,32.9711,119.455,654
San Marino,43.9424,12.4578,657
Malta,35.9375,14.3754,684
Libya,26.3351,17.228331,701
Namibia,-22.9576,18.4904,704
Liberia,6.428055,-9.429499,723
Togo,8.6195,0.8248,729
China,31.202,121.4491,731
Jamaica,18.1096,-77.2975,745
China,36.3427,118.1498,788
Sao Tome and Principe,0.1864,6.6131,800
Andorra,42.5063,1.5218,839
Chad,15.4542,18.7322,839
Mozambique,-18.6657,35.5296,840
Cyprus,35.1264,33.4299,870
Yemen,15.552727,48.516388,913
China,40.1824,116.4142,920
China,27.614,115.7221,931
China,47.862,127.7615,934
Guinea-Bissau,11.8037,-15.1804,944
Burkina Faso,12.2383,-1.5616,974
China,31.8257,117.2264,985
Georgia,42.3154,43.3569,1000
China,27.6104,111.7088,1015
Niger,17.607789,8.081666,1057
Latvia,56.8796,24.6032,1070
Australia,-27.4698,153.0251,1072
Uganda,1.373333,32.290275,1115
Uruguay,-32.5228,-55.7658,1125
South Sudan,6.877,31.307,1175
Jordan,31.24,36.51,1187
China,33.882,113.614,1254
Tunisia,33.886917,9.537499,1263
China,29.1832,120.0934,1268
Rwanda,-1.9403,29.8739,1346
Greece,39.0742,21.8243,1347
Zimbabwe,-19.015438,29.154857,1437
Sierra Leone,8.460555,-11.779889,1445
New Zealand,-40.9006,174.886,1526
Congo (Brazzaville),-0.228,15.8277,1589
Benin,9.3077,2.3158,1600
Eswatini,-26.5225,31.4659,1607
Suriname,3.9193,-56.0278,1635
Lithuania,55.1694,23.8813,1670
China,23.3417,113.4244,1671
Central African Republic,6.6111,20.9394,1721
Somalia,5.152149,46.199616,1728
Iceland,64.9631,-19.0208,1834
Slovakia,48.669,19.699,1864
Slovenia,46.1512,14.9955,1927
Estonia,58.5953,25.0136,1961
Mali,17.570692,-3.996166,1962
Cabo Verde,16.5388,-23.0418,2086
Lebanon,33.8547,35.8623,2127
Equatorial Guinea,1.6508,10.2679,2182
Malawi,-13.2543,34.3015,2375
Cuba,21.521757,-77.781167,2451
Montenegro,42.708678,19.37439,2452
Sri Lanka,7.873054,80.771797,2579
Maldives,3.2028,73.2207,2804
France,-12.8275,45.166244,2835
China,22.3,114.2,2847
Nicaragua,12.865416,-85.207229,2913
Australia,-33.8688,151.2093,2994
Thailand,15.870032,100.992541,3151
Albania,41.1533,20.1683,3342
Hungary,47.1625,19.5033,3499
Croatia,45.1,15.2,4861
Haiti,18.9712,-72.2852,4982
Djibouti,11.8251,42.5903,5106
Paraguay,-23.4425,-58.4438,5222
Kosovo,42.602636,20.902977,5480
Mauritania,21.0079,-10.9408,5527
Gabon,-0.8037,11.6094,5704
Luxembourg,49.8153,6.1296,5848
Sudan,12.8628,30.2176,6266
Australia,-37.8136,144.9631,6378
Tajikistan,38.861,71.2761,6484
Honduras,15.2,-86.2419,6597
Zambia,-13.133897,27.849332,6698
Guinea,9.9456,-9.6966,6898
Finland,61.92411,25.748151,6980
Senegal,14.4974,-14.4524,7352
Bosnia and Herzegovina,43.9159,17.6791,7373
France,3.9339,-53.1258,7501
North Macedonia,41.6086,21.7453,7664
Costa Rica,9.7489,-83.7534,7730
Bulgaria,42.7339,25.4858,7772
West Bank and Gaza,31.9522,35.2332,7945
Congo (Kinshasa),-4.0383,21.7587,8324
Malaysia,4.210484,101.975766,8784
Norway,60.472,8.4689,8857
El Salvador,13.7942,-88.8965,9626
Ethiopia,9.145,40.4897,10206
Madagascar,-18.766947,46.869107,10816
Czechia,49.8175,15.473,12785
Denmark,56.2639,9.5018,12840
Cote d'Ivoire,7.54,-5.5471,12926
Kenya,-0.0236,37.9062,12961
Venezuela,6.4238,-66.5897,13356
"Korea, South",35.907757,127.766922,13658
Cameroon,3.848,11.5021,15320
Nepal,28.1667,84.25,16353
Belgium,50.8333,4.469936,17780
Moldova,47.4116,28.3699,19300
Austria,47.5162,14.5501,19923
Uzbekistan,41.377491,64.585262,22042
Morocco,31.7917,-7.0926,23347
Ireland,53.1424,-7.6921,23364
Algeria,28.0339,1.6596,24506
Afghanistan,33.93911,67.709953,25960
Bolivia,-16.2902,-63.5887,29808
Romania,45.9432,24.9668,30119
Azerbaijan,40.1431,47.5769,30364
Kyrgyzstan,41.20438,74.766098,31822
Switzerland,46.8182,8.2275,32300
Armenia,40.0691,45.0382,32520
Japan,36.204824,138.252924,32867
Nigeria,9.082,8.6753,33186
Poland,51.9194,19.1451,36691
Ghana,7.9465,-1.0232,38330
Portugal,39.3999,-8.2245,38511
Bahrain,26.0275,50.55,40967
Dominican Republic,18.7357,-70.1627,43744
Guatemala,15.7835,-90.2308,44598
Ukraine,48.3794,31.1656,45335
Panama,8.538,-80.7821,48748
Singapore,1.2833,103.8333,48915
Egypt,26.820553,30.802498,52678
United Arab Emirates,23.424076,53.847818,56568
Israel,31.046051,34.851612,57533
Kuwait,29.31166,47.481766,63519
China,30.9756,112.2707,63623
Belarus,53.7098,27.9534,64935
Philippines,12.879721,121.774017,67673
France,46.2276,2.2137,71585
Kazakhstan,48.0196,66.9237,72523
Oman,21.512583,55.923255,74691
Ecuador,-1.8312,-78.1834,78552
Indonesia,-0.7893,113.9213,80952
Canada,56.1304,-106.3468,105420
Iraq,33.223191,43.679291,107775
Argentina,-38.4161,-63.6167,108242
Qatar,25.3548,51.1839,109709
Bangladesh,23.685,90.3563,148370
Spain,40.463667,-3.74922,150376
Germany,51.165691,10.451526,196783
Italy,41.87194,12.56738,202098
Colombia,4.5709,-74.2973,212688
Turkey,38.9637,35.2433,223759
Saudi Arabia,23.885942,45.079162,252039
Pakistan,30.3753,69.3451,260248
Iran,32.427908,53.688046,284371
Peru,-9.19,-75.0152,324020
Chile,-35.6751,-71.543,345826
Mexico,23.6345,-102.5528,384432
South Africa,-30.5595,22.9375,411474
Russia,61.52401,105.318756,692059
India,20.593684,78.96288,1535743
US,40,-100,1656864
Brazil,-14.235,-51.9253,2356983
